EIN,Charity Name,Outstanding,Acceptable,Unacceptable
81-5423491,Friends Of The Bradley School Inc,1,2,2
82-1517696,Amalgamated Charitable Foundation Inc,0,10,1
83-0311166,Yellowstone Park Foundation,0,3,2
83-1012423,Meredith Library Fund,1,2,2
85-0202503,Museum Of New Mexico Foundation,1,8,2
85-0244588,El Centro Family Health,2,7,2
85-0416803,Food Depot,2,8,1
87-1248884,Yourarlington Org Inc,2,7,1
91-1148123,Mercy Corps,1,8,2
91-1742590,Unknown,0,1,2
91-1914868,Habitat For Humanity International Inc,1,8,2
91-2114465,Community Futures Collective,1,2,2
92-1198452,Intercept Media Inc,0,11,0
93-2276661,Neta Foundation Inc,0,10,2
93-3798124,Mothers Against Media Addiction,0,8,1
94-2689383,Marin Agricultural Land Trust,2,8,1
94-2764520,Ploughshares Fund Inc,1,8,2
94-3242767,Internet Archive,1,8,2
99-1502557,Planting Hope Inc,0,9,3
