GRANT HISTORY

Giving Account,Iguana Fund

Timeframe:,01/01/2025 to 12/27/2025

As of:,12/27/2025 9:08 AM ET

"Submit Date","Approved Date",Organization,Address,"Contact Name","Tax ID","Charitable Sector",Amount,Status,Recurring,"Check Number",Designation,Acknowledgement,"NPO Current Secondary Name"
11/20/2025,11/20/2025,"PLANNED PARENTHOOD FEDERATION OF AMERICA INC","123 WILLIAM STREET
NEW YORK NY 10038-3804",,13-1644147,Health,"$5,000.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Chris and Pito Salas
12 Intervale Road
Arlington MA 02474",
11/12/2025,11/12/2025,"JUST A START INC","JUST-A-START CORPORATION
430 RINDGE AVE
CAMBRIDGE MA 02140-2087",,23-7121174,"Society Benefit","$1,000.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474","JUST-A-START CORPORATION"
11/12/2025,11/12/2025,"ARLINGTON HEALTH & HUMAN SERVICES CHARITABLE CORPORATION","27 MAPLE ST
ARLINGTON MA 02476-4976","MICHAEL J DOLAN",55-0854287,"Human Services","$500.00","Check deposited","annually through indefinitely ",,"This is to support AYCC - Arlington Youth Counseling Center","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474",
11/12/2025,11/12/2025,"NATIONAL TRUST FOR HISTORIC PRESERVATION IN THE UN","NATIONAL TRUST FOR HISTORIC PRESERVATION IN THE UN
600 14TH ST NW STE 500
WASHINGTON DC 20005-2011","MR SAM KILPATRICK",53-0210807,"Arts and Culture","$500.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474",
11/12/2025,11/12/2025,"SOCIETY FOR THE PRESERVATION OF NEW ENGLAND ANTIQUITIES INC","HISTORIC NEW ENGLAND
151 ESSEX ST
HAVERHILL MA 01832-5564",,04-2104937,"Arts and Culture","$500.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474","HISTORIC NEW ENGLAND"
11/10/2025,11/10/2025,"FAMILY HEALTH PROJECT INC","42 MARKET ST
IPSWICH MA 01938-2264",,81-4999393,Health,"$500.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Chris Salas
12 Intervale Road
Arlington MA 02474-2474",
11/10/2025,11/10/2025,"NATIONAL SOCIETY OF BLACK ENGINEERS","205 DAINGERFIELD RD
C/O FUND DEVELOPMENT  
ALEXANDRIA VA 22314-2833","SHON MC GEE",35-1410757,"Society Benefit","$1,000.00","Check deposited","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474",
11/10/2025,11/10/2025,"UNITED NEGRO COLLEGE FUND INC","UNCF
1805 7TH ST NW
WASHINGTON DC 20001-3186",,13-1624241,Education,"$1,000.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474",UNCF
11/10/2025,11/10/2025,"AMERICAN INDIAN COLLEGE FUND","8333 GREENWOOD BLVD
DENVER CO 80221-4488",,52-1573446,Education,"$1,000.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474",
11/03/2025,11/03/2025,"INEQUALITY MEDIA","INEQUALITY MEDIA
1918 Bonita Ave
Fl 3
Berkeley CA 94704",,46-5544528,"Arts and Culture","$1,000.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474","INEQUALITY MEDIA"
11/03/2025,11/03/2025,"ARLINGTON EATS INC","117 Broadway
Arlington MA 02474",,47-5005730,"Society Benefit","$1,000.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Chris and Pito Salas
12 Intervale Road
Arlington MA 02474",
10/30/2025,10/30/2025,"GATEWAYS ACCESS TO JEWISH EDUCATION INC","GATEWAYS ACCESS TO JEWISH EDUCATION
333 NAHANTON ST
NEWTON MA 02459-3213",,04-3494246,Education,"$500.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474","GATEWAYS ACCESS TO JEWISH EDUCATION"
10/20/2025,10/20/2025,"HEIFER PROJECT INTERNATIONAL","HEIFER INTERNATIONAL
1 WORLD AVE
LITTLE ROCK AR 72202-2863",,35-1019477,"International Affairs","$1,000.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474","HEIFER INTERNATIONAL "
10/20/2025,10/20/2025,"THE GREATER BOSTON FOOD BANK INC","70 S BAY AVE
BOSTON MA 02118-2704",,04-2717782,"Human Services","$2,000.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474",
10/14/2025,10/14/2025,"FAMILY HEALTH PROJECT INC","42 MARKET ST
IPSWICH MA 01938-2264",,81-4999393,Health,"$1,000.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474",
10/10/2025,10/10/2025,"MYSTIC RIVER WATERSHED ASSOCIATION INC","23 MAPLE ST
ARLINGTON MA 02476-4903",,23-7221094,"Environment and Animals","$500.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Pito and Chris Salas
12 Intervale Road
Arlington MA 02474",
10/06/2025,10/06/2025,"PHILANTHROPY CONNECTION INC","THE PHILANTHROPY CONNECTION
1770 MASSACHUSETTS AVE STE 222
CAMBRIDGE MA 02140-2808",,46-0665444,"Society Benefit","$2,500.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474","THE PHILANTHROPY CONNECTION"
10/03/2025,10/03/2025,"PLANTING HOPE INC","PLANTING HOPE INC
88 CHETWOOD TER
FANWOOD NJ 07023-1503","Ricardo Arocha",99-1502557,"Society Benefit","$1,000.00","Check deposited","quarterly through indefinitely ",15926331,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474",
10/03/2025,10/03/2025,"REACH OUT AND READ INC","89 SOUTH ST STE 201
BOSTON MA 02111-2678",,04-3481253,Education,"$1,000.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Chris Salas
12 Intervale Road
Arlington MA 02474",
10/01/2025,10/01/2025,"DUDLEY STREET NEIGHBORHOOD INITIATIVE INC","504 Dudley St
Roxbury MA 02119-2767",,04-2859066,"Society Benefit","$500.00","Check deposited","annually through indefinitely ",15917165,"Where it's needed most","Iguana Fund
Chris and Pito Salas
12 Intervale Road
Arlington MA 02474",
10/01/2025,10/01/2025,"BOSTON GLOBE FOUNDATION INC","PO BOX 491
MEDFORD MA 02155-0005",,04-2731195,"Society Benefit","$1,000.00","Check deposited","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Chris Salas
12 Intervale Road
Arlington MA 02474","DBA GLOBE SANTA"
10/01/2025,10/01/2025,"MASSACHUSETTS COALITION FOR THE HOMELESS INC","6 CARPENTER ST
SALEM MA 01970-2210",,22-2599662,"Human Services","$1,000.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Chris Salas
12 Intervale Road
Arlington MA 02474",
09/30/2025,09/30/2025,"COMMUNITY SERVINGS INC","179 AMORY ST
JAMAICA PLAIN MA 02130-4515",,22-3154028,"Human Services","$1,500.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Christine Salas
12 Intervale Road
Arlington MA 02474",
09/26/2025,09/26/2025,"COMBINED JEWISH PHILANTHROPIES OF GREATER BOSTON INC","126 HIGH ST
BOSTON MA 02110-2700",,04-2103559,"Society Benefit","$1,000.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Chris and Pito Salas
12 Intervale Road
Arlington MA 02474",
09/11/2025,09/11/2025,"LAKES REGION FOOD PANTRY","LAKES REGION FOOD PANTRY
PO Box 1132
Moultonboro NH 03254","Amy Norton",36-4743975,"Human Services","$500.00","Check deposited","semi-annually through indefinitely ",15868203,"Where it's needed most","Iguana Fund",
08/25/2025,08/25/2025,"RAR-MA INC","RAISING A READER MASSACHUSETTS
53 STATE ST STE 500
BOSTON MA 02109-3111",,80-0297898,Education,"$1,000.00","EFT received","annually through indefinitely ",,"This is for the Red Bag Program to update the book supply. Funds from this account will be given annually for this effort.","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474","RAISING A READER MASSACHUSETTS"
08/15/2025,08/15/2025,"COMMONWEALTH ZOOLOGICAL CORPORATION","ZOO NEW ENGLAND
1 FRANKLIN PARK RD
BOSTON MA 02121-3255",,04-3129124,"Environment and Animals","$1,000.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474","ZOO NEW ENGLAND"
07/28/2025,07/28/2025,"REMOTE AREA MEDICAL","2200 Stock Creek Blvd
Rockford TN 37853",,58-1647546,"International Affairs","$1,000.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474",
07/27/2025,07/28/2025,"AMALGAMATED CHARITABLE FOUNDATION INC","1825 K ST NW
WASHINGTON DC 20006-1202",,82-1517696,"Society Benefit","$500.00","EFT received",,,"For the benefit of Groundwork Fund (Kennedy is the founder I think)","Iguana Fund
Chris and Pito Salas
12 Intervale Road
Arlington MA 02474",
07/23/2025,07/24/2025,"BOSTON FOUNDATION INC","75 ARLINGTON ST FL 3
BOSTON MA 02116-3936",,04-2104021,"Society Benefit","$10,000.00","EFT received",,,"f/b/o The Philanthropic Initiative","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474",
07/21/2025,07/21/2025,"CASTLE PRESERVATION SOCIETY","CASTLE IN THE CLOUDS
PO BOX 687
MOULTONBOROUGH NH 03254-0687",,27-0085747,"Arts and Culture","$250.00","Check deposited","annually through indefinitely ",15751420,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474","CASTLE IN THE CLOUDS"
07/21/2025,07/21/2025,"ARLINGTON SCHOOLS FOUNDATION INC","PO BOX 80
ARLINGTON MA 02476-0001",,04-3557377,Education,"$1,000.00","EFT received","annually through indefinitely ",,"For ""AEF General Fund""","Iguana Fund
Chris and Pito Salas
12 Intervale Road
Arlington MA 02474",
07/14/2025,07/14/2025,"THE NATURE CONNECTION INC","PO BOX 155
CONCORD MA 01742-0155",,04-2652021,Education,"$500.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Chris Salas
12 Intervale Road
Arlington MA 02474",
07/10/2025,07/10/2025,"INTERCEPT MEDIA INC","P.O. Box 9201
NEW YORK NY 10008-9201",,92-1198452,"Arts and Culture","$1,000.00","EFT received",,,"I was inspired to make this donation after seeing the article today ""Documenting ICE Agents Brutal Use of Force in LA Immigration Raids"". 

This donation is for whatever is needed most to continue supporting your work.","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474",
07/09/2025,07/09/2025,"GIVEDIRECTLY INC","PO BOX 3221
NEW YORK NY 10008-3221",,27-1661997,"Human Services","$1,000.00","EFT received",,,"To help all those affected by the Texas Floods.","Iguana Fund
Pito and Chris Salas
12 Intervale Road
Arlington MA 02474",
07/07/2025,07/07/2025,"NETA FOUNDATION INC","2248 BROADWAY NUM 1702
NEW YORK NY 10024-0000",,93-2276661,"Society Benefit","$25,000.00","EFT received",,,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474",
07/07/2025,07/07/2025,"PLANTING HOPE INC","PLANTING HOPE INC
88 CHETWOOD TER
FANWOOD NJ 07023-1503","Ricardo Arocha",99-1502557,"Society Benefit","$1,000.00","Check deposited","quarterly through indefinitely ",15720124,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474",
07/03/2025,07/03/2025,"CASTLE PRESERVATION SOCIETY","CASTLE IN THE CLOUDS
PO BOX 687
MOULTONBOROUGH NH 03254-0687",,27-0085747,"Arts and Culture","$500.00","Check deposited",,15722605,"Where it's needed most","Iguana Fund
Pito and Chris Salas
12 Intervale Road
Arlington MA 02474","CASTLE IN THE CLOUDS"
07/03/2025,07/03/2025,"HABITAT FOR HUMANITY INTERNATIONAL INC","HABITAT FOR HUMANITY INTRNL PARENT
322 W LAMAR ST
AMERICUS GA 31709-3543",,91-1914868,"International Affairs","$1,000.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474","HABITAT FOR HUMANITY INTRNL PARENT"
07/02/2025,07/02/2025,"NATIONAL PARK FOUNDATION","PO BOX 17394
BALTIMORE MD 21297-1394",,52-1086761,"Human Services","$1,000.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Chris Salas
12 Intervale Road
Arlington MA 02474",
07/02/2025,07/02/2025,"UNIVERSITY OF MASSACHUSETTS","UMASS BOSTON
100 CARLSON AVE BLDG 12
NEWTON MA 02459-3326",,04-3167352,Education,"$500.00","Check deposited","annually through indefinitely ",15714567,"WUMB ","Iguana Fund
Chris and Pito Salas
12 Intervale Road
Arlington MA 02474",
07/01/2025,07/01/2025,"INTERNET ARCHIVE","300 FUNSTON AVE
SAN FRANCISCO CA 94118-2116",,94-3242767,"Human Services","$500.00","EFT received","semi-annually through indefinitely ",,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474",
06/30/2025,06/30/2025,"MEDICAL DEBT RESOLUTION INC","UNDUE MEDICAL DEBT
28-07 JACKSON AVE 5TH FL
LONG ISLAND CITY NY 11101-3459",,47-1442997,"Human Services","$1,000.00","EFT received","semi-annually through indefinitely ",,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474","UNDUE MEDICAL DEBT"
06/17/2025,06/17/2025,"WORLD CENTRAL KITCHEN INCORPORATED","200 MASSACHUSETTS AVE NW # 7
WASHINGTON DC 20001-1429",,27-3521132,"International Affairs","$1,000.00","EFT received","semi-annually through indefinitely ",,"Where it's needed most","Iguana Fund
Chris and R. Pito Salas
12 Intervale Road
Arlington MA 02474",
06/16/2025,06/16/2025,"ELECTRONIC FRONTIER FOUNDATION INC","815 EDDY ST
SAN FRANCISCO CA 94109-7701",,04-3091431,"Society Benefit","$500.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474",
06/13/2025,06/13/2025,"WE CARE SOLAR","WE CARE SOLAR
2140 SHATTUCK AVE STE 305
BERKELEY CA 94704-1212","Dr. Laura Stachel",30-0627106,Health,"$500.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Chris Salas
12 Intervale Road
Arlington MA 02474",
05/27/2025,05/27/2025,"EL CENTRO FAMILY HEALTH","544 N PASEO DE ONATE
ESPANOLA NM 87532-2618",,85-0244588,Health,"$1,000.00","Check deposited","annually through indefinitely ",15625294,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474",
05/24/2025,05/24/2025,"FOOD DEPOT","1222A SILER RD
SANTA FE NM 87507-3158",,85-0416803,"Human Services","$100.00","EFT received",,,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474",
05/23/2025,05/23/2025,"INTERNATIONAL CONSORTIUM OF INVESTIGATIVE JOURNALISTS INC","LORELLE DANCE MBR
1730 ROAD ISLAND AVE NW
STE 317
WASHINGTON DC 20036-0000",,81-4739107,"International Affairs","$1,000.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474","LORELLE DANCE MBR"
05/19/2025,05/19/2025,"ARLINGTON EATS INC","117 Broadway
Arlington MA 02474",,47-5005730,"Human Services","$1,000.00","EFT received",,,"Where it's needed most","Iguana Fund
Chris and Pito Salas
12 Intervale Road
Arlington MA 02474",
05/18/2025,05/18/2025,"JUST A START INC","JUST-A-START CORPORATION
430 RINDGE AVE
CAMBRIDGE MA 02140-2087",,23-7121174,"Society Benefit","$500.00","EFT received",,,"Where it's needed most","Iguana Fund
Chris Salas
12 Intervale Road
Arlington MA 02474","JUST-A-START CORPORATION"
05/12/2025,05/12/2025,"THE FISTULA FOUNDATION","1700 THE ALAMEDA STE 300
SAN JOSE CA 95126-1724",,77-0547201,Health,"$1,275.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Christine Salas
12 Intervale Road
Arlington MA 02474",
05/05/2025,,"CENTER FOR PUBLIC INTEGRITY","PO BOX 392988
PITTSBURGH  PA 15251-9988",,54-1512177,Other,"$1,000.00","Not approved","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474",
04/22/2025,04/23/2025,"THE FISTULA FOUNDATION","1700 THE ALAMEDA STE 300
SAN JOSE CA 95126-1724",,77-0547201,Health,"$150.00","EFT received",,,"To support Love a Sister campaign","Iguana Fund
Christine Salas
12 Intervale Road
Arlington MA 02474",
04/21/2025,04/21/2025,"NATIONAL PARKS CONSERVATION ASSOCIATION","NPCA
777 6TH ST NW STE 700
WASHINGTON DC 20001-4835",,53-0225165,"Environment and Animals","$1,000.00","EFT received",,,"For Trustees for the Parks, NPCA's 2025 Park Protection Fund","Iguana Fund
Christine Salas
12 Intervale Road
Arlington MA 02474",NPCA
